"auto_id","log_identifer","log_date","log_details"
"33014","바멍","2023-05-02 19:30:10","SUPPORT GOTCHA USE 15000 / REMAIN 27815821"
"33015","바멍","2023-05-02 19:30:11","SUPPORT GOTCHA USE 15000 / REMAIN 27800821"
"33016","바멍","2023-05-02 19:30:12","SUPPORT GOTCHA USE 15000 / REMAIN 27785821"
"33017","바멍","2023-05-02 19:30:14","SUPPORT GOTCHA USE 15000 / REMAIN 27770821"
"33018","바멍","2023-05-02 19:30:15","SUPPORT GOTCHA USE 15000 / REMAIN 27755821"
"33019","바멍","2023-05-02 19:30:16","SUPPORT GOTCHA USE 15000 / REMAIN 27740821"
"33020","바멍","2023-05-02 19:30:18","SUPPORT GOTCHA USE 15000 / REMAIN 27725821"
"33021","바멍","2023-05-02 19:30:19","SUPPORT GOTCHA USE 15000 / REMAIN 27710821"
"33022","바멍","2023-05-02 19:30:20","SUPPORT GOTCHA USE 15000 / REMAIN 27695821"
"33023","바멍","2023-05-02 19:30:21","SUPPORT GOTCHA USE 15000 / REMAIN 27680821"
"33024","바멍","2023-05-02 19:30:23","SUPPORT GOTCHA USE 15000 / REMAIN 27665821"
"33025","바멍","2023-05-02 19:30:24","SUPPORT GOTCHA USE 15000 / REMAIN 27650821"
"33026","바멍","2023-05-02 19:30:25","SUPPORT GOTCHA USE 15000 / REMAIN 27635821"
"33027","바멍","2023-05-02 19:30:29","REWARD 업적 보상 GET 31500 / REMAIN 27667321"
"33028","바멍","2023-05-02 19:30:29","REWARD 업적 보상 GET 51000 / REMAIN 27718321"
"33029","바멍","2023-05-02 19:30:30","REWARD 업적 보상 GET 500 / REMAIN 27718821"
"33030","바멍","2023-05-02 19:30:53","SUPPORT GOTCHA USE 15000 / REMAIN 27703821"
"33031","바멍","2023-05-02 19:30:56","SUPPORT GOTCHA USE 15000 / REMAIN 27688821"
"33032","바멍","2023-05-02 19:30:57","SUPPORT GOTCHA USE 15000 / REMAIN 27673821"
"33033","바멍","2023-05-02 19:30:58","SUPPORT GOTCHA USE 15000 / REMAIN 27658821"
"33034","바멍","2023-05-02 19:31:00","SUPPORT GOTCHA USE 15000 / REMAIN 27643821"
"33035","바멍","2023-05-02 19:31:01","SUPPORT GOTCHA USE 15000 / REMAIN 27628821"
"33036","바멍","2023-05-02 19:31:02","SUPPORT GOTCHA USE 15000 / REMAIN 27613821"
"33037","바멍","2023-05-02 19:31:03","SUPPORT GOTCHA USE 15000 / REMAIN 27598821"
"33038","바멍","2023-05-02 19:31:05","SUPPORT GOTCHA USE 15000 / REMAIN 27583821"
"33039","바멍","2023-05-02 19:31:06","SUPPORT GOTCHA USE 15000 / REMAIN 27568821"
"33040","바멍","2023-05-02 19:31:07","SUPPORT GOTCHA USE 15000 / REMAIN 27553821"
"33041","바멍","2023-05-02 19:31:08","SUPPORT GOTCHA USE 15000 / REMAIN 27538821"
"33042","바멍","2023-05-02 19:31:10","SUPPORT GOTCHA USE 15000 / REMAIN 27523821"
"33043","바멍","2023-05-02 19:31:11","SUPPORT GOTCHA USE 15000 / REMAIN 27508821"
